Titles,Critics Score,Audience Score,Premiere
Mamamoo: My Con the Movie,Sin calificación,93,"Aug 09, 2023"
Hunting for the Hag,Sin calificación,Sin calificación,"Aug 09, 2023"
Jailer,Sin calificación,86,"Aug 10, 2023"
Underdog,Sin calificación,Sin calificación,"Aug 10, 2023"
Bholaa Shankar,Sin calificación,27,"Aug 10, 2023"
"Drum Corps International: Big, Loud & Live 18",Sin calificación,89,"Aug 10, 2023"
The Last Voyage of the Demeter,48,73,"Aug 11, 2023"
Gran Turismo: Based on a True Story,55,Sin calificación,"Aug 25, 2023"
Heart of Stone,31,62,"Aug 11, 2023"
Jules,83,88,"Aug 11, 2023"
Medusa Deluxe,77,40,"Aug 11, 2023"
Aporia,92,Sin calificación,"Aug 11, 2023"
Operation Napoleon,0,Sin calificación,"Aug 11, 2023"
King on Screen,71,Sin calificación,"Aug 11, 2023"
Gadar 2,Sin calificación,75,"Aug 11, 2023"
Inside Man,Sin calificación,100,"Aug 11, 2023"
The Pod Generation,41,Sin calificación,"Aug 11, 2023"
King Coal,85,Sin calificación,"Aug 11, 2023"
Go West,Sin calificación,80,"Aug 11, 2023"
OMG 2,Sin calificación,Sin calificación,"Aug 11, 2023"
Match Me If You Can,Sin calificación,Sin calificación,"Aug 11, 2023"
Between Two Worlds,74,Sin calificación,"Aug 11, 2023"
3 Days in Malay,Sin calificación,Sin calificación,"Aug 11, 2023"
The Eternal Memory,94,Sin calificación,"Aug 11, 2023"
Aurora's Sunrise,100,100,"Aug 11, 2023"
The Monkey King,Sin calificación,Sin calificación,"Aug 11, 2023"
Sound of the Police,Sin calificación,Sin calificación,"Aug 11, 2023"
One and Only,Sin calificación,93,"Aug 11, 2023"
Love Life,79,Sin calificación,"Aug 11, 2023"
Mad Fate,83,Sin calificación,"Aug 11, 2023"
With This Light,Sin calificación,Sin calificación,"Aug 11, 2023"
CHAAW: Chapter 1,Sin calificación,Sin calificación,"Aug 11, 2023"
Caddy Hack,Sin calificación,Sin calificación,"Aug 11, 2023"
Orisa,Sin calificación,Sin calificación,"Aug 11, 2023"
Ustaad,Sin calificación,Sin calificación,"Aug 12, 2023"
Barbie,88,84,"Jul 21, 2023"
Oppenheimer,93,91,"Jul 21, 2023"
Haunted Mansion,39,84,"Jul 28, 2023"
Sound of Freedom,68,99,"Jul 04, 2023"
"Mission: Impossible - Dead Reckoning, Part One",96,94,"Jul 12, 2023"
Talk to Me,95,82,"Jul 28, 2023"
Indiana Jones and the Dial of Destiny,69,88,"Jun 30, 2023"
Elemental,74,93,"Jun 16, 2023"
Insidious: The Red Door,39,69,"Jul 07, 2023"
Rocky Aur Rani Kii Prem Kahaani,92,84,"Jul 28, 2023"
Spider-Man: Across the Spider-Verse,95,94,"Jun 02, 2023"
The First Slam Dunk,100,98,"Jul 28, 2023"
Theater Camp,84,80,"Aug 04, 2023"
No Hard Feelings,71,87,"Jun 23, 2023"
Transformers: Rise of the Beasts,52,91,"Jun 09, 2023"
The Little Mermaid,67,94,"May 26, 2023"
The Flash,64,83,"Jun 16, 2023"
Asteroid City,74,62,"Jun 23, 2023"
The Miracle Club,71,84,"Jul 14, 2023"
Joy Ride,91,82,"Jul 07, 2023"
"Ruby Gillman, Teenage Kraken",65,81,"Jun 30, 2023"
Guardians of the Galaxy Vol. 3,81,94,"May 05, 2023"
The Super Mario Bros. Movie,59,95,"Apr 05, 2023"
Afire,88,59,"Jul 14, 2023"
Bobi Wine: The People's President,100,67,"Jul 28, 2023"
KOKOMO CITY,98,80,"Jul 28, 2023"
The Unknown Country,91,100,"Jul 28, 2023"
Lakota Nation vs. United States,100,64,"Jul 14, 2023"
Sympathy for the Devil,59,64,"Jul 28, 2023"
